,country,region,age,time,gender,category
0,ETH,Africa,31,66.93333333333334,male,21km
1,ETH,Africa,26,67.13333333333334,male,21km
2,CHE,Europe,33,68.85,male,21km
3,KEN,Africa,31,69.23333333333333,male,21km
4,MAR,Africa,40,69.96666666666667,male,21km
5,CHE,Europe,37,70.83333333333333,male,21km
6,CHE,Europe,27,71.66666666666667,male,21km
7,GBR,Europe,32,71.88333333333334,male,21km
8,FRA,Europe,35,72.21666666666667,male,21km
9,CHE,Europe,32,73.21666666666667,male,21km
10,FRA,Europe,21,73.6,male,21km
11,ITA,Europe,45,73.81666666666666,male,21km
12,FRA,Europe,37,73.83333333333333,male,21km
13,CHE,Europe,39,73.86666666666666,male,21km
14,CHE,Europe,28,74.71666666666667,male,21km
15,FRA,Europe,29,74.96666666666667,male,21km
16,ETH,Africa,19,75.71666666666667,female,21km
17,CHE,Europe,41,75.86666666666666,female,21km
18,FRA,Europe,33,76.06666666666666,male,21km
19,USA,Americas,33,76.18333333333334,male,21km
20,DEU,Europe,31,76.25,male,21km
21,CHE,Europe,42,76.28333333333333,male,21km
22,CHE,Europe,27,76.41666666666667,male,21km
23,FRA,Europe,25,77.21666666666667,male,21km
24,CHE,Europe,31,77.26666666666667,male,21km
25,CHE,Europe,37,77.5,male,21km
26,DEU,Europe,41,77.63333333333334,male,21km
27,CHE,Europe,31,77.81666666666666,male,21km
28,CHE,Europe,31,77.83333333333333,male,21km
29,USA,Americas,37,78.4,male,21km
30,CHE,Europe,34,78.41666666666667,male,21km
31,FRA,Europe,31,78.61666666666666,male,21km
32,DEU,Europe,31,78.73333333333333,male,21km
33,ITA,Europe,34,79.03333333333333,male,21km
34,USA,Americas,36,79.11666666666666,male,21km
35,CHE,Europe,40,79.21666666666667,male,21km
36,FRA,Europe,19,79.23333333333333,male,21km
37,CHE,Europe,40,79.36666666666666,male,21km
38,JPN,Asia,28,79.38333333333334,male,21km
39,CHE,Europe,39,79.63333333333334,male,21km
40,CHE,Europe,28,79.75,male,21km
41,CHE,Europe,23,80.06666666666666,male,21km
42,CHE,Europe,29,80.1,female,21km
43,GBR,Europe,45,80.18333333333334,male,21km
44,FRA,Europe,30,80.21666666666667,male,21km
45,CHE,Europe,40,80.36666666666666,male,21km
46,CHE,Europe,24,80.41666666666667,male,21km
47,AFG,Asia,21,80.46666666666667,male,21km
48,DEU,Europe,22,80.48333333333333,male,21km
49,CHE,Europe,30,80.51666666666667,male,21km
50,PRT,Europe,32,80.53333333333333,male,21km
51,ESP,Europe,33,80.61666666666666,male,21km
52,DEU,Europe,33,80.61666666666666,male,21km
53,CHE,Europe,49,80.65,male,21km
54,CHE,Europe,38,80.76666666666667,male,21km
55,CHE,Europe,54,80.78333333333333,male,21km
56,CHE,Europe,29,80.83333333333333,male,21km
57,CHE,Europe,56,80.83333333333333,male,21km
58,FRA,Europe,35,80.95,male,21km
59,CHE,Europe,25,80.96666666666667,male,21km
60,CZE,Europe,51,81.11666666666666,male,21km
61,CHE,Europe,39,81.2,male,21km
62,CHE,Europe,43,81.21666666666667,male,21km
63,FRA,Europe,30,81.23333333333333,male,21km
64,CHE,Europe,52,81.46666666666667,male,21km
65,PRT,Europe,31,81.46666666666667,male,21km
66,CHE,Europe,21,81.53333333333333,male,21km
67,FRA,Europe,25,81.66666666666667,male,21km
68,DEU,Europe,32,81.66666666666667,male,21km
69,CHE,Europe,34,81.73333333333333,male,21km
70,CHE,Europe,23,81.75,male,21km
71,CHE,Europe,41,81.8,male,21km
72,GBR,Europe,41,82.05,male,21km
73,CHE,Europe,32,82.06666666666666,male,21km
74,CHE,Europe,35,82.06666666666666,male,21km
75,CHE,Europe,21,82.06666666666666,male,21km
76,CHE,Europe,34,82.1,male,21km
77,FRA,Europe,34,82.18333333333334,male,21km
78,CHE,Europe,33,82.45,female,21km
79,DEU,Europe,35,82.48333333333333,male,21km
80,FRA,Europe,37,82.53333333333333,male,21km
81,CHE,Europe,30,82.75,male,21km
82,FRA,Europe,35,82.75,male,21km
83,CHE,Europe,43,82.78333333333333,male,21km
84,ESP,Europe,21,82.8,male,21km
85,CHE,Europe,42,82.88333333333334,male,21km
86,CHE,Europe,41,82.9,female,21km
87,CHE,Europe,65,82.93333333333334,male,21km
88,CHE,Europe,35,83.1,male,21km
89,ZAF,Africa,34,83.18333333333334,male,21km
90,CHE,Europe,52,83.25,male,21km
91,CHE,Europe,47,83.51666666666667,male,21km
92,CHE,Europe,38,83.6,male,21km
93,CHE,Europe,35,83.68333333333334,male,21km
