,country,region,age,time,gender,category
0,MAR,Africa,33,142.26666666666665,male,42km
1,ETH,Africa,39,143.83333333333331,male,42km
2,ETH,Africa,35,145.0,male,42km
3,FRA,Europe,28,148.71666666666667,male,42km
4,POL,Europe,39,148.95,male,42km
5,ETH,Africa,31,155.36666666666667,male,42km
6,IND,Asia,28,155.46666666666667,male,42km
7,CHE,Europe,35,156.91666666666669,male,42km
8,FRA,Europe,38,157.41666666666669,male,42km
9,FRA,Europe,28,158.4,male,42km
10,CHE,Europe,37,158.7,male,42km
11,CHE,Europe,24,162.93333333333334,male,42km
12,CHE,Europe,51,163.06666666666666,male,42km
13,FRA,Europe,45,163.23333333333335,female,42km
14,CHE,Europe,22,164.21666666666667,female,42km
15,CHE,Europe,36,164.55,male,42km
16,CHE,Europe,29,166.0,male,42km
17,CHE,Europe,43,166.33333333333331,male,42km
18,CHE,Europe,25,166.53333333333333,male,42km
19,CHE,Europe,50,166.91666666666669,male,42km
20,CHE,Europe,23,166.98333333333332,male,42km
21,CHE,Europe,34,167.86666666666667,male,42km
22,CHE,Europe,42,167.98333333333335,male,42km
23,ARG,Americas,42,168.43333333333334,male,42km
24,CHE,Europe,39,170.03333333333333,male,42km
25,CHE,Europe,29,170.88333333333333,male,42km
26,CHE,Europe,41,171.45,male,42km
27,POL,Europe,30,172.05,male,42km
28,CHE,Europe,32,172.38333333333333,male,42km
29,FRA,Europe,52,172.61666666666667,male,42km
30,ESP,Europe,37,172.9,male,42km
31,CHE,Europe,36,172.91666666666666,male,42km
32,CHE,Europe,32,172.91666666666666,male,42km
33,PRT,Europe,40,174.2,male,42km
34,CHE,Europe,28,174.58333333333331,male,42km
35,FRA,Europe,31,174.75,male,42km
36,ROU,Europe,34,175.46666666666667,male,42km
37,CHE,Europe,54,176.06666666666666,male,42km
38,FRA,Europe,34,176.08333333333331,male,42km
39,CHE,Europe,45,176.21666666666667,male,42km
40,FRA,Europe,34,176.43333333333334,male,42km
41,SWE,Europe,26,176.71666666666667,male,42km
42,USA,Americas,32,176.75,male,42km
43,CHE,Europe,44,176.91666666666666,male,42km
44,CHE,Europe,23,177.01666666666665,male,42km
45,FRA,Europe,40,177.21666666666667,male,42km
46,GBR,Europe,35,177.39999999999998,male,42km
47,BOL,Americas,26,177.78333333333333,male,42km
48,FRA,Europe,47,177.9,male,42km
49,GBR,Europe,29,178.14999999999998,male,42km
50,FRA,Europe,42,178.16666666666669,male,42km
51,FRA,Europe,37,178.23333333333335,male,42km
52,DEU,Europe,30,178.25,male,42km
53,CHE,Europe,38,178.3,male,42km
54,ESP,Europe,26,178.63333333333333,male,42km
55,FRA,Europe,37,178.71666666666667,male,42km
56,FRA,Europe,46,178.8,male,42km
57,CHE,Europe,46,178.85000000000002,male,42km
58,CHE,Europe,23,178.88333333333333,male,42km
59,CHE,Europe,33,178.9,male,42km
60,CHE,Europe,33,179.05,male,42km
61,FRA,Europe,20,179.16666666666669,male,42km
62,CHE,Europe,48,179.2,male,42km
63,CHE,Europe,48,179.26666666666665,male,42km
64,CHE,Europe,36,179.35000000000002,male,42km
65,FRA,Europe,45,179.38333333333333,male,42km
66,CHE,Europe,45,179.46666666666664,male,42km
67,FRA,Europe,44,179.48333333333332,male,42km
68,POL,Europe,44,179.5,male,42km
69,CHE,Europe,39,179.55,male,42km
70,FRA,Europe,36,179.58333333333331,male,42km
71,USA,Americas,37,179.71666666666664,male,42km
72,FRA,Europe,46,179.83333333333334,male,42km
73,CHE,Europe,50,179.91666666666669,male,42km
74,POL,Europe,28,180.11666666666667,male,42km
75,CHE,Europe,46,180.26666666666665,male,42km
76,UKR,Europe,32,180.61666666666667,female,42km
77,FRA,Europe,35,180.96666666666664,male,42km
78,FRA,Europe,33,181.28333333333333,male,42km
79,DEU,Europe,49,181.73333333333335,male,42km
80,DEU,Europe,38,181.91666666666666,male,42km
81,FRA,Europe,41,182.06666666666666,male,42km
82,FRA,Europe,30,182.26666666666668,male,42km
83,NIC,Americas,44,182.48333333333335,male,42km
84,CHE,Europe,52,182.53333333333333,male,42km
85,CHE,Europe,25,182.71666666666667,male,42km
86,FRA,Europe,20,182.86666666666667,male,42km
87,FRA,Europe,57,182.89999999999998,male,42km
88,DZA,Africa,42,182.91666666666669,male,42km
89,CHE,Europe,29,183.03333333333333,male,42km
90,CHE,Europe,38,183.11666666666667,male,42km
91,CHE,Europe,29,183.33333333333334,male,42km
92,CHE,Europe,33,183.61666666666667,male,42km
93,FRA,Europe,20,184.41666666666669,male,42km
94,DEU,Europe,28,184.83333333333334,female,42km
95,CHE,Europe,41,184.95,male,42km
96,FRA,Europe,37,185.31666666666666,male,42km
97,CHE,Europe,24,185.33333333333331,male,42km
98,FRA,Europe,46,185.48333333333335,male,42km
99,ZAF,Africa,42,185.63333333333333,male,42km
100,CHE,Europe,35,185.78333333333333,male,42km
101,FRA,Europe,53,185.91666666666669,male,42km
102,CHE,Europe,46,185.95,male,42km
103,CHE,Europe,34,186.41666666666669,male,42km
104,FRA,Europe,63,186.63333333333333,male,42km
105,CHE,Europe,52,186.91666666666669,male,42km
106,CHE,Europe,45,187.01666666666668,male,42km
107,FRA,Europe,29,187.3,male,42km
108,FRA,Europe,42,187.8,female,42km
109,CHE,Europe,38,188.05,male,42km
110,DEU,Europe,39,188.21666666666667,male,42km
111,CHE,Europe,45,188.3,male,42km
112,DEU,Europe,21,188.3,male,42km
113,ITA,Europe,52,188.31666666666666,male,42km
114,CAN,Americas,35,188.41666666666669,male,42km
115,FRA,Europe,45,188.95,male,42km
116,FRA,Europe,36,189.08333333333331,male,42km
117,CHE,Europe,41,189.18333333333334,male,42km
118,CHE,Europe,47,189.25,male,42km
119,CHE,Europe,45,189.43333333333334,male,42km
120,FRA,Europe,45,189.55,male,42km
121,POL,Europe,42,189.85,male,42km
122,CHE,Europe,51,190.21666666666667,male,42km
123,FRA,Europe,50,190.38333333333333,male,42km
124,FRA,Europe,46,190.61666666666667,male,42km
125,PRT,Europe,50,190.76666666666665,male,42km
126,CHE,Europe,35,190.81666666666666,male,42km
127,FRA,Europe,39,191.26666666666665,male,42km
128,BEL,Europe,37,191.56666666666666,male,42km
129,CHE,Europe,51,191.58333333333331,male,42km
130,CHE,Europe,19,191.6,male,42km
131,CHE,Europe,35,192.01666666666665,male,42km
132,DEU,Europe,54,192.39999999999998,male,42km
133,ITA,Europe,39,192.43333333333334,male,42km
134,FRA,Europe,32,192.66666666666669,male,42km
135,FRA,Europe,46,193.21666666666664,male,42km
136,FRA,Europe,35,193.75,male,42km
137,CHE,Europe,31,193.81666666666666,male,42km
138,FRA,Europe,49,193.81666666666666,male,42km
139,PRT,Europe,41,193.83333333333331,male,42km
